"DATE","PRICE","PRODUCTNAME","SHOPNAME"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","avanspl"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","electropl"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","alto"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","mediamarktpl"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","oleolepl"
"2020-10-31","5999.00","LodwkaHaierHB18FGSAAA","mediaexpertpl"
"2020-10-31","2299.00","LodwkaHaierHRF521DM6","neonetpl"
"2020-10-31","2299.00","LodwkaHaierHRF521DM6","electropl"
"2020-10-31","2299.00","LodwkaHaierHRF521DM6","mediaexpertpl"
"2020-10-31","2299.00","LodwkaHaierHRF521DM6","neo24pl"
"2020-10-31","2299.00","LodwkaHaierHRF521DM6","avanspl"
"2020-10-31","2387.99","LodwkaHaierHRF521DM6","morelenet"
"2020-10-31","2695.00","LodwkaHaierHRF521DM6","taniemediacompl"
"2020-10-31","2699.00","LodwkaHaierHRF521DM6","antrakspl"
"2020-10-31","2699.00","LodwkaHaierHRF450DS6","avanspl"
"2020-10-31","2699.00","LodwkaHaierHRF450DS6","allegropl"
"2020-10-31","2699.00","LodwkaHaierHRF450DS6","electropl"
"2020-10-31","2699.00","LodwkaHaierHRF450DS6","alto"
"2020-10-31","2699.99","LodwkaHaierHRF450DS6","mediaexpertpl"
"2020-10-31","2649.99","LodwkaHotpointE4DAAXC","mediaexpertpl"
"2020-10-31","2649.99","LodwkaHotpointE4DAAXC","avanspl"
"2020-10-31","2649.99","LodwkaHotpointE4DAAXC","electropl"
"2020-10-31","2549.00","LodwkaHotpointE4DAAXC","rtvpixelagdpl"
"2020-10-31","2696.00","LodwkaHotpointE4DAAXC","hidboxpl"
